QuickSort,Crescente,100,0.00,345
InsertionSort,Crescente,100,0.00,0
QuickSort,Decrescente,100,0.01,399
InsertionSort,Decrescente,100,0.02,4950
QuickSort,Aleatório,100,0.01,439
InsertionSort,Aleatório,100,0.01,2617
QuickSort,Crescente,1000,0.03,4960
InsertionSort,Crescente,1000,0.01,0
QuickSort,Decrescente,1000,0.03,5506
InsertionSort,Decrescente,1000,0.74,499500
QuickSort,Aleatório,1000,0.06,6401
InsertionSort,Aleatório,1000,0.51,258753
QuickSort,Crescente,10000,0.40,66421
InsertionSort,Crescente,10000,0.02,0
QuickSort,Decrescente,10000,0.40,72675
InsertionSort,Decrescente,10000,77.69,49995000
QuickSort,Aleatório,10000,0.97,82028
InsertionSort,Aleatório,10000,41.33,25088677
QuickSort,Crescente,100000,4.19,846100
InsertionSort,Crescente,100000,0.19,0
QuickSort,Decrescente,100000,5.54,899854
InsertionSort,Decrescente,100000,7661.35,4999950000
QuickSort,Aleatório,100000,9.63,1057075
InsertionSort,Aleatório,100000,3773.15,2495315711
QuickSort,Crescente,1000000,46.37,9933573
InsertionSort,Crescente,1000000,-1.00,-1
QuickSort,Decrescente,1000000,51.58,10549175
InsertionSort,Decrescente,1000000,-1.00,-1
QuickSort,Aleatório,1000000,112.66,13634882
InsertionSort,Aleatório,1000000,-1.00,-1
QuickSort,Crescente,10000000,535.35,116046024
InsertionSort,Crescente,10000000,-1.00,-1
QuickSort,Decrescente,10000000,575.47,122326263
InsertionSort,Decrescente,10000000,-1.00,-1
QuickSort,Aleatório,10000000,1353.53,164699703
InsertionSort,Aleatório,10000000,-1.00,-1
